№,F,A
1,1.2,4.95
2,1.3,4.82
3,1.4,4.58
4,1.5,4.49
5,1.6,4.37
6,1.7,4.3
7,1.8,3.987
8,10.6,3.718
9,11.3,3.917
10,11.9,3.721
11,13.0,3.912
12,13.4,3.723
13,14.8,3.899
14,14.9,3.726
15,16.4,3.731
16,16.9,3.887
17,17.9,3.732
18,19.3,3.879
19,19.6,3.730
20,2.0,3.987
21,2.2,3.987
22,2.4,3.985
23,2.7,3.979
24,21.4,3.730
25,21.6,3.870
26,23.0,3.752
27,23.9,3.858
28,24.3,3.762
29,25.1,3.772
30,25.8,3.800
31,26.3,3.858
32,26.4,3.811
33,26.9,3.831
34,27.2,3.840
35,27.4,3.858
36,27.6,3.862
37,27.7,3.860
38,3.0,3.694
39,3.1,3.690
40,3.2,3.688
41,3.3,3.694
42,3.5,3.975
43,3.8,3.694
44,4.0,3.974
45,4.5,3.694
46,4.6,3.947
47,5.2,3.937
48,5.3,3.701
49,5.9,3.936
50,6.4,3.714
51,6.6,3.935
52,7.6,3.935
53,7.8,3.712
54,8.6,3.928
55,9.2,3.713
56,9.9,3.920
57,1.2,4.97
