№,F,A
1,5.9,0.3
2,6.0,0.3
3,6.2,0.2
4,6.3,0.2
5,6.4,0.3
6,6.5,0.12
7,6.6,1.391
8,6.7,2.289
9,6.8,2.567
10,6.9,3.396
11,7.0,3.959
12,7.1,4.601
13,7.2,5.601
14,7.3,6.166
15,7.4,6.375
16,7.5,7.932
17,7.7,7.881
18,7.8,7.910
19,7.9,8.281
20,8.0,8.674
21,7.8,8.724
22,7.7,10.44
23,7.6,8.972
24,7.5,8.520
25,7.2,8.549
26,7.0,8.568
27,6.7,8.556
28,6.5,8.547
29,6.3,8.531
30,6.1,8.402
31,6.0,7.844
32,5.9,7.351
33,5.8,6.496
34,5.7,6.436
35,5.6,6.307
